"Band","Min","Max","Mean","Stdev","Date","Site","NLCD"
406,2.7,3.33,3.18,0.11,2022-09-27 14:00:00,"US-SRG","Herbaceous"
414,2.81,3.16,3.06,0.08,2022-10-09 09:00:00,"US-SRG","Herbaceous"
415,2.2,2.5,2.34,0.08,2022-10-25 11:00:00,"US-SRG","Herbaceous"
9,0.76,1.24,1.03,0.13,2019-02-17 16:00:00,"US-SRM","Shrub/Scrub"
29,0.01,0.01,0.01,0,2019-06-01 14:00:00,"US-SRM","Shrub/Scrub"
43,0.01,0.01,0.01,0,2019-06-20 15:00:00,"US-SRM","Shrub/Scrub"
49,0.01,0.31,0.07,0.1,2019-07-01 11:00:00,"US-SRM","Shrub/Scrub"
51,0.01,0.64,0.26,0.18,2019-07-05 09:00:00,"US-SRM","Shrub/Scrub"
71,0.01,0.69,0.22,0.23,2019-08-17 08:00:00,"US-SRM","Shrub/Scrub"
75,0.42,2.76,1.88,0.6,2019-08-21 06:00:00,"US-SRM","Shrub/Scrub"
78,0.01,0.59,0.18,0.16,2019-08-29 11:00:00,"US-SRM","Shrub/Scrub"
80,3.59,3.91,3.75,0.09,2019-09-02 10:00:00,"US-SRM","Shrub/Scrub"
86,0.32,1.4,0.86,0.27,2019-10-01 14:00:00,"US-SRM","Shrub/Scrub"
88,0.86,1.23,1.08,0.09,2019-10-05 12:00:00,"US-SRM","Shrub/Scrub"
91,0.01,2.08,1.06,0.59,2019-10-13 17:00:00,"US-SRM","Shrub/Scrub"
94,0.01,0.49,0.24,0.17,2019-10-17 16:00:00,"US-SRM","Shrub/Scrub"
96,2.66,3.12,2.88,0.11,2019-10-20 07:00:00,"US-SRM","Shrub/Scrub"
97,0,0.11,0.02,0.03,2019-10-21 14:00:00,"US-SRM","Shrub/Scrub"
104,0.19,0.9,0.71,0.17,2019-11-05 08:00:00,"US-SRM","Shrub/Scrub"
123,0.01,0.01,0.01,0,2020-01-23 17:00:00,"US-SRM","Shrub/Scrub"
126,3.78,3.93,3.89,0.03,2020-01-27 15:00:00,"US-SRM","Shrub/Scrub"
128,3.02,3.22,3.15,0.05,2020-01-31 14:00:00,"US-SRM","Shrub/Scrub"
129,1.75,2.11,1.99,0.07,2020-02-04 12:00:00,"US-SRM","Shrub/Scrub"
130,3.01,3.16,3.1,0.03,2020-02-08 11:00:00,"US-SRM","Shrub/Scrub"
152,1.27,1.49,1.41,0.05,2020-04-03 13:00:00,"US-SRM","Shrub/Scrub"
154,0.97,1.37,1.29,0.06,2020-04-07 11:00:00,"US-SRM","Shrub/Scrub"
156,0.06,0.66,0.31,0.17,2020-04-12 17:00:00,"US-SRM","Shrub/Scrub"
158,1.78,1.89,1.83,0.03,2020-04-15 08:00:00,"US-SRM","Shrub/Scrub"
162,0.09,0.5,0.25,0.12,2020-04-20 14:00:00,"US-SRM","Shrub/Scrub"
165,1.57,1.71,1.64,0.04,2020-04-28 11:00:00,"US-SRM","Shrub/Scrub"
167,0.01,0.01,0.01,0,2020-05-06 08:00:00,"US-SRM","Shrub/Scrub"
169,0.01,0.72,0.13,0.2,2020-05-20 18:00:00,"US-SRM","Shrub/Scrub"
172,0.01,0.01,0.01,0,2020-05-24 17:00:00,"US-SRM","Shrub/Scrub"
173,0.72,1.19,0.93,0.13,2020-05-28 15:00:00,"US-SRM","Shrub/Scrub"
182,0.01,0.01,0.01,0,2020-06-09 10:00:00,"US-SRM","Shrub/Scrub"
186,0.01,0.01,0.01,0,2020-06-13 17:00:00,"US-SRM","Shrub/Scrub"
190,0.01,0.01,0.01,0,2020-06-17 07:00:00,"US-SRM","Shrub/Scrub"
191,0.01,0.01,0.01,0,2020-06-17 15:00:00,"US-SRM","Shrub/Scrub"
199,0.01,0.01,0.01,0,2020-07-29 15:00:00,"US-SRM","Shrub/Scrub"
202,2.19,2.49,2.36,0.08,2020-08-06 11:00:00,"US-SRM","Shrub/Scrub"
205,3.25,3.58,3.39,0.09,2020-08-10 10:00:00,"US-SRM","Shrub/Scrub"
211,3.84,4.36,4.14,0.12,2020-08-18 07:00:00,"US-SRM","Shrub/Scrub"
215,2.5,2.71,2.63,0.06,2020-08-27 11:00:00,"US-SRM","Shrub/Scrub"
218,0,2.52,0.27,0.77,2020-09-08 06:00:00,"US-SRM","Shrub/Scrub"
220,2.18,2.84,2.48,0.23,2020-09-22 17:00:00,"US-SRM","Shrub/Scrub"
227,1.57,1.79,1.7,0.06,2020-09-30 14:00:00,"US-SRM","Shrub/Scrub"
236,0.83,1.23,1,0.12,2020-10-16 07:00:00,"US-SRM","Shrub/Scrub"
237,0.27,0.89,0.58,0.17,2020-10-17 15:00:00,"US-SRM","Shrub/Scrub"
238,0.48,1.05,0.75,0.17,2020-10-21 13:00:00,"US-SRM","Shrub/Scrub"
241,0.01,0.5,0.19,0.14,2020-11-24 16:00:00,"US-SRM","Shrub/Scrub"
243,0.33,0.65,0.51,0.08,2020-11-28 14:00:00,"US-SRM","Shrub/Scrub"
245,1.67,1.79,1.76,0.02,2020-12-02 13:00:00,"US-SRM","Shrub/Scrub"
247,1.29,1.63,1.5,0.09,2020-12-10 10:00:00,"US-SRM","Shrub/Scrub"
263,1.07,1.35,1.22,0.07,2021-02-11 09:00:00,"US-SRM","Shrub/Scrub"
278,1.83,2.92,2.43,0.32,2021-03-26 16:00:00,"US-SRM","Shrub/Scrub"
282,0.01,0.01,0.01,0,2021-04-07 11:00:00,"US-SRM","Shrub/Scrub"
290,0.19,1.19,0.72,0.23,2021-05-06 08:00:00,"US-SRM","Shrub/Scrub"
293,0.01,0.01,0.01,0,2021-05-25 16:00:00,"US-SRM","Shrub/Scrub"
296,0.01,0.01,0.01,0,2021-05-29 14:00:00,"US-SRM","Shrub/Scrub"
301,0.01,0.01,0.01,0,2021-06-06 11:00:00,"US-SRM","Shrub/Scrub"
316,3.16,4.26,3.9,0.3,2021-08-25 12:00:00,"US-SRM","Shrub/Scrub"
318,3.72,4.35,4.11,0.17,2021-08-29 10:00:00,"US-SRM","Shrub/Scrub"
319,0.8,3.91,2.21,1.14,2021-09-02 09:00:00,"US-SRM","Shrub/Scrub"
321,2.55,2.84,2.76,0.07,2021-09-21 17:00:00,"US-SRM","Shrub/Scrub"
335,0.03,0.66,0.35,0.19,2021-10-28 10:00:00,"US-SRM","Shrub/Scrub"
345,0.03,0.44,0.26,0.1,2021-12-23 12:00:00,"US-SRM","Shrub/Scrub"
353,0.01,0.96,0.61,0.22,2022-03-06 07:00:00,"US-SRM","Shrub/Scrub"
356,1.47,2.08,1.86,0.16,2022-04-01 13:00:00,"US-SRM","Shrub/Scrub"
357,1,1.44,1.27,0.11,2022-04-05 11:00:00,"US-SRM","Shrub/Scrub"
360,0.49,1.1,0.8,0.19,2022-04-21 13:00:00,"US-SRM","Shrub/Scrub"
361,0.71,1.56,1.26,0.25,2022-04-25 11:00:00,"US-SRM","Shrub/Scrub"
367,0,1.37,0.62,0.65,2022-06-01 13:00:00,"US-SRM","Shrub/Scrub"
378,0,5.37,3.96,2.15,2022-07-17 18:00:00,"US-SRM","Shrub/Scrub"
386,0.01,0.27,0.15,0.07,2022-08-05 11:00:00,"US-SRM","Shrub/Scrub"
390,1.99,2.3,2.15,0.07,2022-08-09 09:00:00,"US-SRM","Shrub/Scrub"
394,0.01,0.01,0.01,0,2022-08-13 08:00:00,"US-SRM","Shrub/Scrub"
398,0.75,1.93,1.28,0.33,2022-08-17 06:00:00,"US-SRM","Shrub/Scrub"
403,5.98,6.73,6.45,0.2,2022-08-21 13:00:00,"US-SRM","Shrub/Scrub"
406,0.41,1.46,1.08,0.31,2022-09-27 14:00:00,"US-SRM","Shrub/Scrub"
414,2.1,2.47,2.34,0.1,2022-10-09 09:00:00,"US-SRM","Shrub/Scrub"
415,1.39,1.52,1.45,0.03,2022-10-25 11:00:00,"US-SRM","Shrub/Scrub"
16,0.04,0.53,0.21,0.15,2019-02-28 11:00:00,"US-Whs","Shrub/Scrub"
25,4.33,5.08,4.81,0.15,2019-05-25 17:00:00,"US-Whs","Shrub/Scrub"
29,0.01,0.72,0.2,0.21,2019-06-01 14:00:00,"US-Whs","Shrub/Scrub"
32,0.81,1.6,1.37,0.22,2019-06-05 13:00:00,"US-Whs","Shrub/Scrub"
36,0.01,1.45,1.31,0.28,2019-06-12 10:00:00,"US-Whs","Shrub/Scrub"
43,0.01,0.01,0.01,0,2019-06-20 15:00:00,"US-Whs","Shrub/Scrub"
49,0.01,0.53,0.24,0.14,2019-07-01 11:00:00,"US-Whs","Shrub/Scrub"
59,1.37,2,1.68,0.16,2019-07-26 16:00:00,"US-Whs","Shrub/Scrub"
71,2.58,3.05,2.81,0.11,2019-08-17 08:00:00,"US-Whs","Shrub/Scrub"
75,0.88,2.43,1.73,0.43,2019-08-21 06:00:00,"US-Whs","Shrub/Scrub"
80,1.9,2.19,2.08,0.07,2019-09-02 10:00:00,"US-Whs","Shrub/Scrub"
82,0.01,0.75,0.35,0.23,2019-09-06 08:00:00,"US-Whs","Shrub/Scrub"
86,0.53,1.59,1.23,0.25,2019-10-01 14:00:00,"US-Whs","Shrub/Scrub"
88,1.4,1.71,1.62,0.07,2019-10-05 12:00:00,"US-Whs","Shrub/Scrub"
94,0.01,0.01,0.01,0,2019-10-17 16:00:00,"US-Whs","Shrub/Scrub"
97,0.86,1.37,1.21,0.09,2019-10-21 14:00:00,"US-Whs","Shrub/Scrub"
104,0.9,1.18,1.05,0.06,2019-11-05 08:00:00,"US-Whs","Shrub/Scrub"
109,0.42,0.78,0.61,0.11,2019-12-01 14:00:00,"US-Whs","Shrub/Scrub"
123,0.01,0.01,0.01,0,2020-01-23 17:00:00,"US-Whs","Shrub/Scrub"
126,3.45,3.81,3.73,0.08,2020-01-27 15:00:00,"US-Whs","Shrub/Scrub"
128,2.21,2.5,2.39,0.07,2020-01-31 14:00:00,"US-Whs","Shrub/Scrub"
129,0,1.72,1.46,0.46,2020-02-04 12:00:00,"US-Whs","Shrub/Scrub"
130,2.32,2.47,2.41,0.04,2020-02-08 11:00:00,"US-Whs","Shrub/Scrub"
134,0.01,0.72,0.4,0.2,2020-02-13 16:00:00,"US-Whs","Shrub/Scrub"
139,1.87,2.36,2.17,0.11,2020-02-25 12:00:00,"US-Whs","Shrub/Scrub"
156,0.01,0.83,0.22,0.22,2020-04-12 17:00:00,"US-Whs","Shrub/Scrub"
162,0.2,0.57,0.38,0.09,2020-04-20 14:00:00,"US-Whs","Shrub/Scrub"
165,2.01,2.22,2.15,0.05,2020-04-28 11:00:00,"US-Whs","Shrub/Scrub"
167,1.12,1.68,1.52,0.15,2020-05-06 08:00:00,"US-Whs","Shrub/Scrub"
169,0.07,1.4,0.81,0.31,2020-05-20 18:00:00,"US-Whs","Shrub/Scrub"
172,1.2,1.72,1.53,0.12,2020-05-24 17:00:00,"US-Whs","Shrub/Scrub"
173,1.25,1.66,1.45,0.12,2020-05-28 15:00:00,"US-Whs","Shrub/Scrub"
176,1,2.07,1.42,0.37,2020-06-01 13:00:00,"US-Whs","Shrub/Scrub"
182,0.01,0.01,0.01,0,2020-06-09 10:00:00,"US-Whs","Shrub/Scrub"
190,0,0.01,0.01,0,2020-06-17 07:00:00,"US-Whs","Shrub/Scrub"
215,2.14,2.44,2.27,0.08,2020-08-27 11:00:00,"US-Whs","Shrub/Scrub"
218,1.89,3.34,2.56,0.43,2020-09-08 06:00:00,"US-Whs","Shrub/Scrub"
237,0.46,1.27,1.02,0.18,2020-10-17 15:00:00,"US-Whs","Shrub/Scrub"
238,1.24,1.69,1.46,0.11,2020-10-21 13:00:00,"US-Whs","Shrub/Scrub"
241,0.01,0.48,0.18,0.14,2020-11-24 16:00:00,"US-Whs","Shrub/Scrub"
243,0.17,0.65,0.43,0.12,2020-11-28 14:00:00,"US-Whs","Shrub/Scrub"
245,1.32,1.52,1.44,0.05,2020-12-02 13:00:00,"US-Whs","Shrub/Scrub"
251,0.66,0.99,0.82,0.1,2020-12-19 14:00:00,"US-Whs","Shrub/Scrub"
253,1.03,1.56,1.31,0.15,2020-12-23 12:00:00,"US-Whs","Shrub/Scrub"
263,1.04,1.45,1.33,0.09,2021-02-11 09:00:00,"US-Whs","Shrub/Scrub"
269,0.01,0.48,0.04,0.11,2021-02-20 13:00:00,"US-Whs","Shrub/Scrub"
272,0.03,1.16,0.44,0.28,2021-02-24 11:00:00,"US-Whs","Shrub/Scrub"
273,1.67,2.7,1.97,0.25,2021-02-28 10:00:00,"US-Whs","Shrub/Scrub"
275,1.72,2.75,2.17,0.31,2021-03-04 08:00:00,"US-Whs","Shrub/Scrub"
290,0.51,1.95,1.03,0.41,2021-05-06 08:00:00,"US-Whs","Shrub/Scrub"
296,0.01,1.38,0.2,0.25,2021-05-29 14:00:00,"US-Whs","Shrub/Scrub"
301,0.01,0.01,0.01,0,2021-06-06 11:00:00,"US-Whs","Shrub/Scrub"
318,2.53,3.06,2.82,0.14,2021-08-29 10:00:00,"US-Whs","Shrub/Scrub"
319,0.01,3.07,2.39,0.77,2021-09-02 09:00:00,"US-Whs","Shrub/Scrub"
321,0.86,2.11,1.58,0.38,2021-09-21 17:00:00,"US-Whs","Shrub/Scrub"
337,0.01,0.39,0.1,0.13,2021-11-01 09:00:00,"US-Whs","Shrub/Scrub"
345,0.17,0.37,0.29,0.06,2021-12-23 12:00:00,"US-Whs","Shrub/Scrub"
356,0.54,0.97,0.82,0.07,2022-04-01 13:00:00,"US-Whs","Shrub/Scrub"
357,0.01,1.04,0.39,0.37,2022-04-05 11:00:00,"US-Whs","Shrub/Scrub"
360,0.08,0.5,0.32,0.12,2022-04-21 13:00:00,"US-Whs","Shrub/Scrub"
361,0.98,1.55,1.29,0.12,2022-04-25 11:00:00,"US-Whs","Shrub/Scrub"
369,1.22,1.73,1.51,0.12,2022-06-09 10:00:00,"US-Whs","Shrub/Scrub"
390,3.23,3.65,3.41,0.1,2022-08-09 09:00:00,"US-Whs","Shrub/Scrub"
394,0.51,1.56,1.01,0.2,2022-08-13 08:00:00,"US-Whs","Shrub/Scrub"
399,2.82,3.77,3.32,0.21,2022-08-17 14:00:00,"US-Whs","Shrub/Scrub"
406,0.64,2.11,1.47,0.4,2022-09-27 14:00:00,"US-Whs","Shrub/Scrub"
408,0.01,0.68,0.29,0.19,2022-10-01 12:00:00,"US-Whs","Shrub/Scrub"
414,1.83,2.53,2.25,0.17,2022-10-09 09:00:00,"US-Whs","Shrub/Scrub"
415,1.09,1.41,1.24,0.09,2022-10-25 11:00:00,"US-Whs","Shrub/Scrub"
13,1.64,2.29,2.09,0.16,2019-02-21 14:00:00,"US-Wkg","Shrub/Scrub"
16,0.39,0.57,0.48,0.05,2019-02-28 11:00:00,"US-Wkg","Shrub/Scrub"
25,5.55,5.71,5.62,0.04,2019-05-25 17:00:00,"US-Wkg","Shrub/Scrub"
29,1.62,2.11,1.91,0.13,2019-06-01 14:00:00,"US-Wkg","Shrub/Scrub"
32,1.91,2.69,2.27,0.22,2019-06-05 13:00:00,"US-Wkg","Shrub/Scrub"
36,1.62,1.9,1.81,0.06,2019-06-12 10:00:00,"US-Wkg","Shrub/Scrub"
43,1,1.89,1.34,0.23,2019-06-20 15:00:00,"US-Wkg","Shrub/Scrub"
49,1.41,2.17,1.8,0.18,2019-07-01 11:00:00,"US-Wkg","Shrub/Scrub"
59,2.6,3.61,3.33,0.23,2019-07-26 16:00:00,"US-Wkg","Shrub/Scrub"
71,0,3.74,0.77,1.44,2019-08-17 08:00:00,"US-Wkg","Shrub/Scrub"
75,0.14,1.77,1.07,0.37,2019-08-21 06:00:00,"US-Wkg","Shrub/Scrub"
80,2.96,3.36,3.19,0.09,2019-09-02 10:00:00,"US-Wkg","Shrub/Scrub"
82,0.01,0.46,0.22,0.15,2019-09-06 08:00:00,"US-Wkg","Shrub/Scrub"
86,1.9,2.25,2.13,0.08,2019-10-01 14:00:00,"US-Wkg","Shrub/Scrub"
88,1.89,2.18,2.04,0.07,2019-10-05 12:00:00,"US-Wkg","Shrub/Scrub"
94,0.01,1.41,0.92,0.46,2019-10-17 16:00:00,"US-Wkg","Shrub/Scrub"
97,0.95,1.46,1.32,0.12,2019-10-21 14:00:00,"US-Wkg","Shrub/Scrub"
104,1.09,1.26,1.19,0.05,2019-11-05 08:00:00,"US-Wkg","Shrub/Scrub"
109,0.52,0.78,0.67,0.06,2019-12-01 14:00:00,"US-Wkg","Shrub/Scrub"
111,0.07,0.29,0.15,0.05,2019-12-05 12:00:00,"US-Wkg","Shrub/Scrub"
123,0.01,0.01,0.01,0,2020-01-23 17:00:00,"US-Wkg","Shrub/Scrub"
126,3.98,4.11,4.05,0.03,2020-01-27 15:00:00,"US-Wkg","Shrub/Scrub"
128,2.79,3.02,2.92,0.07,2020-01-31 14:00:00,"US-Wkg","Shrub/Scrub"
130,2.5,2.73,2.64,0.06,2020-02-08 11:00:00,"US-Wkg","Shrub/Scrub"
134,0.89,1.65,1.34,0.19,2020-02-13 16:00:00,"US-Wkg","Shrub/Scrub"
139,2.22,2.54,2.45,0.08,2020-02-25 12:00:00,"US-Wkg","Shrub/Scrub"
162,1.23,1.55,1.41,0.09,2020-04-20 14:00:00,"US-Wkg","Shrub/Scrub"
165,2.22,2.51,2.39,0.07,2020-04-28 11:00:00,"US-Wkg","Shrub/Scrub"
167,0.91,1.64,1.36,0.19,2020-05-06 08:00:00,"US-Wkg","Shrub/Scrub"
169,0.45,1.85,1.44,0.32,2020-05-20 18:00:00,"US-Wkg","Shrub/Scrub"
172,1.51,2.36,2.06,0.2,2020-05-24 17:00:00,"US-Wkg","Shrub/Scrub"
173,2.18,2.62,2.48,0.1,2020-05-28 15:00:00,"US-Wkg","Shrub/Scrub"
182,0.12,0.62,0.42,0.13,2020-06-09 10:00:00,"US-Wkg","Shrub/Scrub"
190,0.01,0.01,0.01,0,2020-06-17 07:00:00,"US-Wkg","Shrub/Scrub"
215,2.26,2.62,2.48,0.07,2020-08-27 11:00:00,"US-Wkg","Shrub/Scrub"
237,0.46,1.29,1.06,0.23,2020-10-17 15:00:00,"US-Wkg","Shrub/Scrub"
238,0.92,1.31,1.14,0.1,2020-10-21 13:00:00,"US-Wkg","Shrub/Scrub"
241,0.01,0.71,0.28,0.24,2020-11-24 16:00:00,"US-Wkg","Shrub/Scrub"
243,0.1,0.78,0.39,0.17,2020-11-28 14:00:00,"US-Wkg","Shrub/Scrub"
245,1.41,1.65,1.56,0.06,2020-12-02 13:00:00,"US-Wkg","Shrub/Scrub"
247,0.31,0.59,0.48,0.06,2020-12-10 10:00:00,"US-Wkg","Shrub/Scrub"
251,0.52,1.06,0.81,0.13,2020-12-19 14:00:00,"US-Wkg","Shrub/Scrub"
253,0.99,1.44,1.22,0.11,2020-12-23 12:00:00,"US-Wkg","Shrub/Scrub"
263,1.14,1.57,1.4,0.13,2021-02-11 09:00:00,"US-Wkg","Shrub/Scrub"
269,0.01,0.01,0.01,0,2021-02-20 13:00:00,"US-Wkg","Shrub/Scrub"
272,0.41,0.87,0.66,0.14,2021-02-24 11:00:00,"US-Wkg","Shrub/Scrub"
273,2.18,2.78,2.46,0.16,2021-02-28 10:00:00,"US-Wkg","Shrub/Scrub"
275,1.66,2.49,2.15,0.2,2021-03-04 08:00:00,"US-Wkg","Shrub/Scrub"
290,0.15,0.98,0.5,0.2,2021-05-06 08:00:00,"US-Wkg","Shrub/Scrub"
296,0.01,1.26,0.66,0.56,2021-05-29 14:00:00,"US-Wkg","Shrub/Scrub"
301,0.01,0.16,0.02,0.02,2021-06-06 11:00:00,"US-Wkg","Shrub/Scrub"
316,4.09,4.66,4.41,0.14,2021-08-25 12:00:00,"US-Wkg","Shrub/Scrub"
318,3.33,4.06,3.78,0.2,2021-08-29 10:00:00,"US-Wkg","Shrub/Scrub"
319,0.01,1.13,0.64,0.33,2021-09-02 09:00:00,"US-Wkg","Shrub/Scrub"
337,0.96,1.51,1.28,0.12,2021-11-01 09:00:00,"US-Wkg","Shrub/Scrub"
345,0.01,0.37,0.19,0.11,2021-12-23 12:00:00,"US-Wkg","Shrub/Scrub"
356,0.74,1.41,1.13,0.14,2022-04-01 13:00:00,"US-Wkg","Shrub/Scrub"
357,0.08,0.69,0.39,0.16,2022-04-05 11:00:00,"US-Wkg","Shrub/Scrub"
360,0.01,1.2,0.42,0.46,2022-04-21 13:00:00,"US-Wkg","Shrub/Scrub"
369,1.07,1.38,1.21,0.08,2022-06-09 10:00:00,"US-Wkg","Shrub/Scrub"
390,3.41,3.94,3.8,0.11,2022-08-09 09:00:00,"US-Wkg","Shrub/Scrub"
394,0.01,1.04,0.57,0.29,2022-08-13 08:00:00,"US-Wkg","Shrub/Scrub"
406,0.15,1.81,1.19,0.39,2022-09-27 14:00:00,"US-Wkg","Shrub/Scrub"
408,0.01,0.88,0.46,0.24,2022-10-01 12:00:00,"US-Wkg","Shrub/Scrub"
414,1.77,2.33,2.12,0.13,2022-10-09 09:00:00,"US-Wkg","Shrub/Scrub"
415,0.96,1.33,1.2,0.09,2022-10-25 11:00:00,"US-Wkg","Shrub/Scrub"
